"","Row.names","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","island","site","zone","site_zone","even","PD","SR"
"1","A1","A1",57,1.43003532475964,2.58019790735479,"A",1,"MNWI_A1",51,"Moorea","MNW","Backreef","MNW-B",0.353702001292099,18.4451263110329,57
"2","A10","A10",98,2.34289685833889,2.90510494351521,"A",10,"MSEI_A10",308,"Moorea","MSE","Backreef","MSE-B",0.510995305689326,23.6853539706278,99
"3","A11","A11",67,1.11029478478146,1.57763158099944,"A",11,"MSEO_A11",600,"Moorea","MSE","Forereef","MSE-F",0.264060868483243,18.66304425888,72
"4","A12","A12",170,2.26234356216292,3.24825013621694,"A",12,"MSEO_A12",617,"Moorea","MSE","Forereef","MSE-F",0.440504741354743,35.2135582918081,173
"5","A2","A2",61,1.69691657566929,3.13962203001884,"A",2,"MNWI_A2",73,"Moorea","MNW","Backreef","MNW-B",0.412787312804242,19.3501364120555,65
"6","A3","A3",53,1.64809918493535,2.84904550305146,"A",3,"MNWO_A3",113,"Moorea","MNW","Forereef","MNW-F",0.415107810916814,15.5423950512796,53
"7","A5","A5",46,2.0495010790292,3.04717959905331,"A",5,"TI_A5",380,"Tahiti","TNW","Backreef","TNW-B",0.535307663159212,13.9605696445537,46
"8","A6","A6",28,1.28150402071972,1.98857840027248,"A",6,"TI_A6",525,"Tahiti","TNW","Backreef","TNW-B",0.384581443547815,11.0675371388353,28
"9","A8","A8",46,1.51527794437048,2.00453115820496,"A",8,"TO_A8",408,"Tahiti","TNW","Forereef","TNW-F",0.395774319778292,16.8115674772492,46
"10","A9","A9",58,1.12712870517605,1.65644659799739,"A",9,"MSEI_A9",276,"Moorea","MSE","Backreef","MSE-B",0.277587618456532,20.9747038507413,73
"11","B1","B1",50,1.97915024923718,3.76984562854821,"B",1,"MNWI_B1",55,"Moorea","MNW","Backreef","MNW-B",0.505914777722677,13.8756825836374,50
"12","B10","B10",70,2.31035458604486,3.18661687232393,"B",10,"MSEI_B10",310,"Moorea","MSE","Backreef","MSE-B",0.543805383887027,18.4773734392275,70
"13","B11","B11",96,1.91901203064594,2.91847818824761,"B",11,"MSEO_B11",604,"Moorea","MSE","Forereef","MSE-F",0.420435065456479,21.2932575580681,97
"14","B12","B12",40,0.623230551811058,1.3015205240374,"B",12,"MSEO_B12",618,"Moorea","MSE","Forereef","MSE-F",0.168948473259546,12.7882386042446,42
"15","B2","B2",99,2.73534510175077,4.39608094644283,"B",2,"MNWI_B2",76,"Moorea","MNW","Backreef","MNW-B",0.595271764602756,19.7757230951731,100
"16","B3","B3",53,1.99238363356886,3.62895947422759,"B",3,"MNWO_B3",115,"Moorea","MNW","Forereef","MNW-F",0.501822958349257,15.2455819939781,54
"17","B4","B4",44,1.66385285536668,2.75145184894844,"B",4,"MNWO_B4",173,"Moorea","MNW","Forereef","MNW-F",0.439685379520444,14.2294515691023,44
"18","B6","B6",40,2.01170195940286,3.99551388191614,"B",6,"TI_B6",526,"Tahiti","TNW","Backreef","TNW-B",0.545342287387395,11.9313959876746,40
"19","B7","B7",27,1.04262376465783,1.5218178961984,"B",7,"TO_B7",386,"Tahiti","TNW","Forereef","TNW-F",0.316345683068302,8.41935606527375,27
"20","B9","B9",68,2.45687335802769,4.97363610580337,"B",9,"MSEI_B9",297,"Moorea","MSE","Backreef","MSE-B",0.582265403855957,18.6460292176769,68
"21","C1","C1",43,0.467568476085352,1.20116952164205,"C",1,"MNWI_C1",58,"Moorea","MNW","Backreef","MNW-B",0.124313639716863,14.2605889063943,48
"22","C10","C10",45,1.5360864311017,2.79395430154849,"C",10,"MSEI_C10",311,"Moorea","MSE","Backreef","MSE-B",0.403525774935298,14.3977639274678,45
"23","C11","C11",50,1.1632849177716,1.87863086711717,"C",11,"MSEO_C11",607,"Moorea","MSE","Forereef","MSE-F",0.297361471585796,15.158373864612,52
"24","C2","C2",69,2.37071065968759,3.27416944354962,"C",2,"MNWI_C2",87,"Moorea","MNW","Backreef","MNW-B",0.559908131057532,14.6403244376412,69
"25","C3","C3",38,1.62042792840895,2.19453540132709,"C",3,"MNWO_C3",116,"Moorea","MNW","Forereef","MNW-F",0.445467916705191,10.1961354269547,38
"26","C4","C4",48,1.58387530047316,1.94113806844441,"C",4,"MNWO_C4",174,"Moorea","MNW","Forereef","MNW-F",0.409143130519514,13.487973670255,48
"27","C5","C5",43,2.02545988517592,3.22807003400391,"C",5,"TI_C5",455,"Tahiti","TNW","Backreef","TNW-B",0.538514256852411,14.2216024278934,43
"28","C6","C6",48,1.03718585934089,1.69917465376001,"C",6,"TI_C6",527,"Tahiti","TNW","Backreef","TNW-B",0.267923534949079,14.1327855936927,49
"29","C7","C7",41,1.16241336886739,1.56055349471015,"C",7,"TO_C7",389,"Tahiti","TNW","Forereef","TNW-F",0.313017587376189,13.4633771430824,41
"30","C8","C8",44,1.8860256993109,3.01578138628974,"C",8,"TO_C8",414,"Tahiti","TNW","Forereef","TNW-F",0.498396190932444,13.1958524554392,44
"31","C9","C9",58,1.29112820854542,2.02168355540297,"C",9,"MSEI_C9",300,"Moorea","MSE","Backreef","MSE-B",0.317977177660639,17.2717517868927,59
"32","D1","D1",76,2.34911504709009,3.83235959097836,"D",1,"MNWI_D1",62,"Moorea","MNW","Backreef","MNW-B",0.542428928892393,15.7896618565936,77
"33","D10","D10",42,1.57021286854895,3.09821103298418,"D",10,"MSEI_D10",315,"Moorea","MSE","Backreef","MSE-B",0.420104778888969,12.2157137702774,42
"34","D11","D11",62,2.17575158720178,3.32557135980571,"D",11,"MSEO_D11",608,"Moorea","MSE","Forereef","MSE-F",0.527182152121274,17.0291985161189,62
"35","D12","D12",38,1.5889078015424,2.17105373143365,"D",12,"MSEO_D12",626,"Moorea","MSE","Forereef","MSE-F",0.436802794978172,12.5992850753277,38
"36","D3","D3",71,2.31719006324902,3.7414695176327,"D",3,"MNWO_D3",117,"Moorea","MNW","Forereef","MNW-F",0.543599362393912,19.7007551192244,71
"37","D4","D4",63,1.87115518821473,3.18794670854454,"D",4,"MNWO_D4",175,"Moorea","MNW","Forereef","MNW-F",0.45162788849119,17.6017362620111,63
"38","D5","D5",56,2.09428640479283,3.87624102232731,"D",5,"TI_D5",505,"Tahiti","TNW","Backreef","TNW-B",0.520274143899797,14.5964872827493,56
"39","D6","D6",79,2.44099445877225,5.75286161464448,"D",6,"TI_D6",530,"Tahiti","TNW","Backreef","TNW-B",0.55865055292834,18.3023138910074,79
"40","D7","D7",16,1.1164994366431,2.13798287878394,"D",7,"TO_D7",394,"Tahiti","TNW","Forereef","TNW-F",0.40269205010008,6.48462012269052,16
"41","D8","D8",46,1.81514682916221,2.56639958040302,"D",8,"TO_D8",416,"Tahiti","TNW","Forereef","TNW-F",0.474096850863787,12.8119280426639,46
"42","D9","D9",48,1.9997186335133,3.19178916389239,"D",9,"MSEI_D9",301,"Moorea","MSE","Backreef","MSE-B",0.516562851652159,19.3399590717732,48
"43","E1","E1",85,2.63232941098056,4.80419169474736,"E",1,"MNWI_E1",63,"Moorea","MNW","Backreef","MNW-B",0.592513177156312,16.514129793784,86
"44","E10","E10",59,1.6804560600996,3.247528406158,"E",10,"MSEI_E10",316,"Moorea","MSE","Backreef","MSE-B",0.412125230783891,16.3629533209025,62
"45","E11","E11",77,1.73141800714528,2.93259695955915,"E",11,"MSEO_E11",609,"Moorea","MSE","Forereef","MSE-F",0.39859474331758,22.3476226189826,78
"46","E12","E12",58,1.95556784394495,3.89643826618634,"E",12,"MSEO_E12",627,"Moorea","MSE","Forereef","MSE-F",0.481614404848348,17.1014637763981,60
"47","E2","E2",79,2.36630524304648,3.25328315852155,"E",2,"MNWI_E2",96,"Moorea","MNW","Backreef","MNW-B",0.541557039457616,21.5944676165321,79
"48","E3","E3",67,2.60983537855636,7.36735220351678,"E",3,"MNWO_E3",130,"Moorea","MNW","Forereef","MNW-F",0.620695878343275,18.4873387107299,68
"49","E4","E4",70,2.4191178564664,5.49907857530948,"E",4,"MNWO_E4",177,"Moorea","MNW","Forereef","MNW-F",0.569405805736405,17.99525499293,70
"50","E5","E5",54,0.763231117703666,1.36666488189619,"E",5,"TI_E5",511,"Tahiti","TNW","Backreef","TNW-B",0.191334712998173,14.0476233285889,57
"51","E6","E6",62,1.48699629994632,2.15689080038941,"E",6,"TI_E6",533,"Tahiti","TNW","Backreef","TNW-B",0.360297523951373,18.4007645415565,63
"52","E7","E7",29,1.10572341620979,1.59230932820701,"E",7,"TO_E7",397,"Tahiti","TNW","Forereef","TNW-F",0.328371331785907,10.0210459861764,29
"53","E8","E8",54,1.67107353508085,2.04329619183596,"E",8,"TO_E8",418,"Tahiti","TNW","Forereef","TNW-F",0.418922090330281,14.1919833527552,54
"54","E9","E9",35,1.53496577758003,2.98145078450005,"E",9,"MSEI_E9",303,"Moorea","MSE","Backreef","MSE-B",0.431734319968943,10.4753380460094,36
"55","F1","F1",43,1.57029610089616,2.14736271011922,"F",1,"MNWI_F1",65,"Moorea","MNW","Backreef","MNW-B",0.4174986846204,11.6253937947208,43
"56","F10","F10",61,1.31968155341619,2.07432494051965,"F",10,"MSEI_F10",351,"Moorea","MSE","Backreef","MSE-B",0.32102214687669,18.9750218828485,64
"57","F11","F11",71,2.01351024339189,4.82139273530002,"F",11,"MSEO_F11",612,"Moorea","MSE","Forereef","MSE-F",0.472357836260847,18.9917026644947,79
"58","F12","F12",63,1.73305409226539,2.69626970665231,"F",12,"MSEO_F12",630,"Moorea","MSE","Forereef","MSE-F",0.418295374568907,16.6219380912829,66
"59","F2","F2",101,2.58088156526943,3.73935490096741,"F",2,"MNWI_F2",97,"Moorea","MNW","Backreef","MNW-B",0.559223005304284,23.9196787880028,102
"60","F3","F3",93,2.46450318029355,3.92548762746346,"F",3,"MNWO_F3",157,"Moorea","MNW","Forereef","MNW-F",0.543728424277574,26.6409277402017,94
"61","F4","F4",64,1.65861191235144,2.57582846322616,"F",4,"MNWO_F4",178,"Moorea","MNW","Forereef","MNW-F",0.398811863451464,18.3712132403543,64
"62","F5","F5",55,1.90742102615509,3.48620834575061,"F",5,"TI_F5",513,"Tahiti","TNW","Backreef","TNW-B",0.475982639323373,16.3410180563171,57
"63","F6","F6",39,1.78931516248973,2.69074091132959,"F",6,"TI_F6",539,"Tahiti","TNW","Backreef","TNW-B",0.488408640367781,11.0056225049565,40
"64","F7","F7",35,1.17607184907092,1.70899405693315,"F",7,"TO_F7",400,"Tahiti","TNW","Forereef","TNW-F",0.3307895116683,12.6196939923538,35
"65","F8","F8",37,1.31657667708612,1.7279894644788,"F",8,"TO_F8",421,"Tahiti","TNW","Forereef","TNW-F",0.364609971463464,12.4049877637431,37
"66","G1","G1",69,2.38473058059561,4.69960317450614,"G",1,"MNWI_G1",70,"Moorea","MNW","Backreef","MNW-B",0.563219318646412,17.8123667879071,70
"67","G10","G10",32,1.26643597218861,2.76489913081181,"G",10,"MSEI_G10",377,"Moorea","MSE","Backreef","MSE-B",0.36541617933598,12.9650722197991,32
"68","G11","G11",41,1.30122303455497,2.19606420048581,"G",11,"MSEO_G11",614,"Moorea","MSE","Forereef","MSE-F",0.35039660229612,12.7839998455983,41
"69","G12","G12",106,2.84459773048598,5.0875336367501,"G",12,"MSEO_G12",632,"Moorea","MSE","Forereef","MSE-F",0.609978531525692,22.2473901811103,106
"70","G2","G2",76,2.43364474155231,5.25004643641489,"G",2,"MNWI_G2",98,"Moorea","MNW","Backreef","MNW-B",0.561947492567484,16.8049114458781,77
"71","G3","G3",64,1.66875209411319,2.88997611333999,"G",3,"MNWO_G3",158,"Moorea","MNW","Forereef","MNW-F",0.401250061775029,19.3905065845966,64
"72","G4","G4",48,1.0775802896824,1.86646591961417,"G",4,"MNWO_G4",179,"Moorea","MNW","Forereef","MNW-F",0.278358133986352,13.8568067257571,49
"73","G5","G5",92,2.16897451831559,3.7162681475022,"G",5,"TI_G5",516,"Tahiti","TNW","Backreef","TNW-B",0.479671811575738,19.6797938797879,93
"74","G6","G6",41,1.30900425429775,2.38894690696009,"G",6,"TI_G6",540,"Tahiti","TNW","Backreef","TNW-B",0.352491948664256,11.4303380332555,41
"75","G7","G7",73,2.35268853337711,4.90057843143754,"G",7,"TO_G7",402,"Tahiti","TNW","Forereef","TNW-F",0.548353519162364,16.2209682991334,75
"76","G8","G8",58,2.18378301097332,3.41558883987446,"G",8,"TO_G8",425,"Tahiti","TNW","Forereef","TNW-F",0.537818904316907,15.0251725171156,58
"77","H1","H1",98,2.079634401846,3.45392602847746,"H",1,"MNWI_H1",72,"Moorea","MNW","Backreef","MNW-B",0.453576696349654,26.2775333432759,98
"78","H10","H10",43,1.43959396776874,1.82613190962186,"H",10,"MSEI_H10",378,"Moorea","MSE","Backreef","MSE-B",0.382748570532594,14.147780617593,43
"79","H11","H11",103,3.25640610601684,13.2404070770734,"H",11,"MSEO_H11",616,"Moorea","MSE","Forereef","MSE-F",0.702609821261785,25.5944855156758,106
"80","H12","H12",117,3.0970761736755,9.37358871892012,"H",12,"MSEO_H12",633,"Moorea","MSE","Forereef","MSE-F",0.650349234631017,20.9996007195307,119
"81","H2","H2",36,0.78755727457303,1.51407359768386,"H",2,"MNWI_H2",101,"Moorea","MNW","Backreef","MNW-B",0.219772041978473,11.7408288609537,37
"82","H6","H6",43,1.83668802399495,3.41129254975127,"H",6,"TI_H6",545,"Tahiti","TNW","Backreef","TNW-B",0.488324994017572,12.7364005297438,43
"83","H8","H8",39,1.45941766914261,1.88867192854728,"H",8,"TO_H8",427,"Tahiti","TNW","Forereef","TNW-F",0.398360341686731,12.2269052220596,39
"84","H9","H9",34,1.37447049449693,2.491062567793,"H",9,"MSEI_H9",307,"Moorea","MSE","Backreef","MSE-B",0.38977027019849,10.055187980337,34
