,Kingdom,Phylum,Class,Order,Family,Genus,Species
sq1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Genus_Burkholderia-Caballeronia-Paraburkholderia
sq2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Genus_Endozoicomonas
sq4,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Family_Simkaniaceae,Family_Simkaniaceae
sq7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,Genus_Pelomonas
sq8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Genus_Bradyrhizobium
sq10,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Genus_Staphylococcus
sq14,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,Genus_Ralstonia
sq21,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,Genus_Rubrobacter
sq23,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Family_Caulobacteraceae,Family_Caulobacteraceae
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,    sq1         sq2         sq4         sq7         sq8        sq10        sq14        sq21 ,,
,,,,,0.418591270 0.220718254 0.082178571 0.023591270 0.016081349 0.012454365 0.009146825 0.006009921 ,,
,,,,,       sq23 ,,
,,,,,0.005011905,,