row,col,id,fullname,sample,island,site,zone,site_zone
A,1,A1,MNWI_A1,51,Moorea,MNW,Backreef,MNW-B
A,10,A10,MSEI_A10,308,Moorea,MSE,Backreef,MSE-B
A,11,A11,MSEO_A11,600,Moorea,MSE,Forereef,MSE-F
A,12,A12,MSEO_A12,617,Moorea,MSE,Forereef,MSE-F
A,2,A2,MNWI_A2,73,Moorea,MNW,Backreef,MNW-B
A,3,A3,MNWO_A3,113,Moorea,MNW,Forereef,MNW-F
A,5,A5,TI_A5,380,Tahiti,TNW,Backreef,TNW-B
A,6,A6,TI_A6,525,Tahiti,TNW,Backreef,TNW-B
A,7,A7,TO_A7,384,Tahiti,TNW,Forereef,TNW-F
A,8,A8,TO_A8,408,Tahiti,TNW,Forereef,TNW-F
A,9,A9,MSEI_A9,276,Moorea,MSE,Backreef,MSE-B
B,1,B1,MNWI_B1,55,Moorea,MNW,Backreef,MNW-B
B,10,B10,MSEI_B10,310,Moorea,MSE,Backreef,MSE-B
B,11,B11,MSEO_B11,604,Moorea,MSE,Forereef,MSE-F
B,12,B12,MSEO_B12,618,Moorea,MSE,Forereef,MSE-F
B,2,B2,MNWI_B2,76,Moorea,MNW,Backreef,MNW-B
B,3,B3,MNWO_B3,115,Moorea,MNW,Forereef,MNW-F
B,4,B4,MNWO_B4,173,Moorea,MNW,Forereef,MNW-F
B,5,B5,TI_B5,453,Tahiti,TNW,Backreef,TNW-B
B,6,B6,TI_B6,526,Tahiti,TNW,Backreef,TNW-B
B,7,B7,TO_B7,386,Tahiti,TNW,Forereef,TNW-F
B,8,B8,TO_B8,409,Tahiti,TNW,Forereef,TNW-F
B,9,B9,MSEI_B9,297,Moorea,MSE,Backreef,MSE-B
C,1,C1,MNWI_C1,58,Moorea,MNW,Backreef,MNW-B
C,10,C10,MSEI_C10,311,Moorea,MSE,Backreef,MSE-B
C,11,C11,MSEO_C11,607,Moorea,MSE,Forereef,MSE-F
C,2,C2,MNWI_C2,87,Moorea,MNW,Backreef,MNW-B
C,3,C3,MNWO_C3,116,Moorea,MNW,Forereef,MNW-F
C,4,C4,MNWO_C4,174,Moorea,MNW,Forereef,MNW-F
C,5,C5,TI_C5,455,Tahiti,TNW,Backreef,TNW-B
C,6,C6,TI_C6,527,Tahiti,TNW,Backreef,TNW-B
C,7,C7,TO_C7,389,Tahiti,TNW,Forereef,TNW-F
C,8,C8,TO_C8,414,Tahiti,TNW,Forereef,TNW-F
C,9,C9,MSEI_C9,300,Moorea,MSE,Backreef,MSE-B
D,1,D1,MNWI_D1,62,Moorea,MNW,Backreef,MNW-B
D,10,D10,MSEI_D10,315,Moorea,MSE,Backreef,MSE-B
D,11,D11,MSEO_D11,608,Moorea,MSE,Forereef,MSE-F
D,12,D12,MSEO_D12,626,Moorea,MSE,Forereef,MSE-F
D,3,D3,MNWO_D3,117,Moorea,MNW,Forereef,MNW-F
D,4,D4,MNWO_D4,175,Moorea,MNW,Forereef,MNW-F
D,5,D5,TI_D5,505,Tahiti,TNW,Backreef,TNW-B
D,6,D6,TI_D6,530,Tahiti,TNW,Backreef,TNW-B
D,7,D7,TO_D7,394,Tahiti,TNW,Forereef,TNW-F
D,8,D8,TO_D8,416,Tahiti,TNW,Forereef,TNW-F
D,9,D9,MSEI_D9,301,Moorea,MSE,Backreef,MSE-B
E,1,E1,MNWI_E1,63,Moorea,MNW,Backreef,MNW-B
E,10,E10,MSEI_E10,316,Moorea,MSE,Backreef,MSE-B
E,11,E11,MSEO_E11,609,Moorea,MSE,Forereef,MSE-F
E,12,E12,MSEO_E12,627,Moorea,MSE,Forereef,MSE-F
E,2,E2,MNWI_E2,96,Moorea,MNW,Backreef,MNW-B
E,3,E3,MNWO_E3,130,Moorea,MNW,Forereef,MNW-F
E,4,E4,MNWO_E4,177,Moorea,MNW,Forereef,MNW-F
E,5,E5,TI_E5,511,Tahiti,TNW,Backreef,TNW-B
E,6,E6,TI_E6,533,Tahiti,TNW,Backreef,TNW-B
E,7,E7,TO_E7,397,Tahiti,TNW,Forereef,TNW-F
E,8,E8,TO_E8,418,Tahiti,TNW,Forereef,TNW-F
E,9,E9,MSEI_E9,303,Moorea,MSE,Backreef,MSE-B
F,1,F1,MNWI_F1,65,Moorea,MNW,Backreef,MNW-B
F,10,F10,MSEI_F10,351,Moorea,MSE,Backreef,MSE-B
F,11,F11,MSEO_F11,612,Moorea,MSE,Forereef,MSE-F
F,12,F12,MSEO_F12,630,Moorea,MSE,Forereef,MSE-F
F,2,F2,MNWI_F2,97,Moorea,MNW,Backreef,MNW-B
F,3,F3,MNWO_F3,157,Moorea,MNW,Forereef,MNW-F
F,4,F4,MNWO_F4,178,Moorea,MNW,Forereef,MNW-F
F,5,F5,TI_F5,513,Tahiti,TNW,Backreef,TNW-B
F,6,F6,TI_F6,539,Tahiti,TNW,Backreef,TNW-B
F,7,F7,TO_F7,400,Tahiti,TNW,Forereef,TNW-F
F,8,F8,TO_F8,421,Tahiti,TNW,Forereef,TNW-F
F,9,F9,MSEI_F9,304,Moorea,MSE,Backreef,MSE-B
G,1,G1,MNWI_G1,70,Moorea,MNW,Backreef,MNW-B
G,10,G10,MSEI_G10,377,Moorea,MSE,Backreef,MSE-B
G,11,G11,MSEO_G11,614,Moorea,MSE,Forereef,MSE-F
G,12,G12,MSEO_G12,632,Moorea,MSE,Forereef,MSE-F
G,2,G2,MNWI_G2,98,Moorea,MNW,Backreef,MNW-B
G,3,G3,MNWO_G3,158,Moorea,MNW,Forereef,MNW-F
G,4,G4,MNWO_G4,179,Moorea,MNW,Forereef,MNW-F
G,5,G5,TI_G5,516,Tahiti,TNW,Backreef,TNW-B
G,6,G6,TI_G6,540,Tahiti,TNW,Backreef,TNW-B
G,7,G7,TO_G7,402,Tahiti,TNW,Forereef,TNW-F
G,8,G8,TO_G8,425,Tahiti,TNW,Forereef,TNW-F
G,9,G9,MSEI_G9,305,Moorea,MSE,Backreef,MSE-B
H,1,H1,MNWI_H1,72,Moorea,MNW,Backreef,MNW-B
H,10,H10,MSEI_H10,378,Moorea,MSE,Backreef,MSE-B
H,11,H11,MSEO_H11,616,Moorea,MSE,Forereef,MSE-F
H,12,H12,MSEO_H12,633,Moorea,MSE,Forereef,MSE-F
H,2,H2,MNWI_H2,101,Moorea,MNW,Backreef,MNW-B
H,3,H3,MNWO_H3,159,Moorea,MNW,Forereef,MNW-F
H,4,H4,MNWO_H4,180,Moorea,MNW,Forereef,MNW-F
H,5,H5,TI_H5,517,Tahiti,TNW,Backreef,TNW-B
H,6,H6,TI_H6,545,Tahiti,TNW,Backreef,TNW-B
H,7,H7,TO_H7,405,Tahiti,TNW,Forereef,TNW-F
H,8,H8,TO_H8,427,Tahiti,TNW,Forereef,TNW-F
H,9,H9,MSEI_H9,307,Moorea,MSE,Backreef,MSE-B
N,1,N1,neg1,neg1,neg,neg,neg,neg
N,2,N2,neg2,neg2,neg,neg,neg,neg
N,3,N3,neg3,neg3,neg,neg,neg,neg
N,4,N4,neg4,neg4,neg,neg,neg,neg