Sample,A1-A1gf-A1g,A1-A1ee,A3,C3ae-C3bj-C3f-C3-C3p-C3k,C3ae-C3f-C3bj-C3-C3p-C3ch,C3ae-C3f-C3-C3bj-C3in-C3p-C3il-C3im,C3ae/C3g-C3f-C3-C3bj,C3ae/C3g/C3f/C3/C3io-C3bj,C3ae/C3f/C3-C3bj
308,0,0,0,2306,0,0,0,0,0
300,0,0,0,4618,0,0,0,0,0
97,0,0,0,2589,0,0,0,0,0
172,0,0,0,5651,0,0,0,0,0
627,0,0,0,7381,0,0,0,0,0
96,0,0,0,2750,0,0,0,0,0
630,0,0,0,4248,0,0,0,0,0
600,0,0,0,8805,0,0,0,0,0
62,0,0,0,2880,0,0,0,0,0
310,0,0,0,3567,0,0,0,0,0
377,0,0,0,3496,0,0,0,0,0
51,0,0,0,6444,0,0,0,0,0
72,0,0,0,1126,0,0,0,0,0
316,0,0,0,4510,0,0,0,0,0
304,0,0,0,3493,0,0,0,0,0
301,0,0,0,2447,0,0,0,0,0
63,0,0,0,3887,0,0,0,0,0
305,0,0,0,1833,0,0,0,0,0
55,0,0,0,5795,0,0,0,0,0
378,0,0,0,1816,0,0,0,0,0
626,0,0,0,3914,0,0,0,0,0
89,0,0,0,1810,0,0,0,0,0
633,0,0,0,2070,0,0,0,0,0
307,0,0,0,1608,0,0,0,0,0
101,0,0,0,3059,0,0,0,0,0
614,0,0,0,4946,0,0,0,0,0
65,0,0,0,2258,0,0,0,0,0
157,0,0,0,1239,0,0,0,0,0
276,0,0,0,1620,0,0,0,0,0
315,0,0,0,1262,0,0,0,0,0
158,0,0,0,2663,0,0,0,0,0
117,0,0,0,850,0,0,0,0,0
632,0,0,0,2772,0,0,0,0,0
311,0,0,0,779,0,0,0,0,0
70,0,0,0,2714,0,0,0,0,0
98,0,581,0,995,0,0,0,0,0
177,0,1108,0,2096,0,0,0,0,0
505,0,0,0,0,559,0,0,0,0
511,0,0,0,0,7637,0,0,0,0
73,0,0,0,0,6398,0,0,0,0
607,0,0,0,0,5774,0,0,0,0
619,0,0,0,0,3087,0,0,0,0
180,0,0,0,0,3856,0,0,0,0
297,0,0,0,0,2564,0,0,0,0
173,0,0,0,0,2699,0,0,0,0
617,0,0,0,0,3418,0,0,0,0
130,0,0,0,0,4624,0,0,0,0
394,0,0,0,0,1859,0,0,0,0
179,0,0,0,0,3416,0,0,0,0
159,0,0,0,0,3151,0,0,0,0
113,0,0,0,0,1978,0,0,0,0
540,0,0,0,0,2082,0,0,0,0
609,0,0,0,0,6263,0,0,0,0
351,0,0,0,0,1759,0,0,0,0
115,0,0,0,0,2316,0,0,0,0
418,0,0,0,0,4438,0,0,0,0
612,0,0,0,0,4162,0,0,0,0
174,0,0,0,0,1740,0,0,0,0
175,0,0,0,0,2508,0,0,0,0
397,0,0,0,0,0,3176,0,0,0
455,0,0,0,0,0,5012,0,0,0
517,0,0,0,0,0,3574,0,0,0
453,0,0,0,0,0,2352,0,0,0
427,0,0,0,0,0,2041,0,0,0
530,0,0,0,0,0,953,0,0,0
416,0,0,0,0,0,2249,0,0,0
386,0,0,0,0,0,1640,0,0,0
425,0,0,0,0,0,2950,0,0,0
384,0,0,0,0,0,3256,0,0,0
409,0,0,0,0,0,2917,0,0,0
405,0,0,0,0,0,1564,0,0,0
402,0,0,0,0,0,0,484,0,0
516,0,0,0,0,0,0,5844,0,0
525,0,0,0,0,0,0,3107,0,0
408,0,0,0,0,0,0,3705,0,0
389,0,0,0,0,0,0,2325,0,0
414,0,0,0,0,0,0,1142,0,0
545,0,0,0,0,0,0,1810,0,0
533,567,0,0,0,0,0,2681,0,0
421,0,0,0,0,0,0,998,0,0
116,0,0,0,0,0,0,0,1909,0
608,0,0,0,0,0,0,0,4659,0
303,0,0,0,0,0,0,0,1666,0
400,525,0,0,0,0,0,0,2552,0
604,0,0,0,0,0,0,0,1744,0
618,0,0,0,0,0,0,0,3104,0
380,3407,0,0,0,0,0,0,0,0
527,2623,0,0,0,0,612,0,0,0
539,1655,0,0,0,0,968,0,0,0
178,0,2910,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,4545
616,0,0,0,0,0,0,0,0,4305
58,0,0,1406,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0